Time (s) Aperture 4mm 436 nm;Voltage (V) Aperture 4mm 436 nm;Current (A) Aperture 4mm 436 nm;Time (s) Aperture 2mm 436 nm;Voltage (V) Aperture 2mm 436 nm;Current (A) Aperture 2mm 436 nm;Time (s) Aperture 8mm 436nm;Voltage (V) Aperture 8mm 436nm;Current (A) Aperture 8mm 436nm
6,620;-1,893;-6,372E-13;17,630;-2,445;-2,050E-13;13,670;-1,835;-2,600E-12
12,910;-1,053;-4,663E-13;25,390;-1,500;-2,198E-13;17,620;-1,038;-2,585E-12
20,750;-0,758;1,829E-12;40,410;-0,468;6,771E-13;25,890;-0,491;-1,690E-12
27,490;-0,532;8,441E-12;50,320;0,053;5,004E-12;30,580;-0,200;1,221E-11
35,330;0,061;2,884E-11;58,390;1,338;1,955E-11;36,620;0,330;7,244E-11
42,420;1,031;7,010E-11;71,970;2,765;4,151E-11;42,140;1,170;1,786E-10
49,660;2,320;1,405E-10;83,150;4,184;5,817E-11;66,120;2,208;3,064E-10
58,720;3,469;2,014E-10;96,810;6,087;6,944E-11;104,970;3,003;3,999E-10
105,650;5,183;2,623E-10;108,650;8,008;8,705E-11;148,950;3,838;5,127E-10
123,500;6,828;3,024E-10;119,020;9,652;9,856E-11;172,590;4,989;5,286E-10
135,460;8,013;3,447E-10;128,030;11,800;1,138E-10;182,260;5,864;5,286E-10
157,140;9,305;3,905E-10;144,190;11,799;1,132E-10;191,370;6,922;5,285E-10
169,570;11,261;4,461E-10;162,190;12,858;1,193E-10;199,190;7,865;5,285E-10
195,450;12,470;4,764E-10;173,530;13,879;1,249E-10;203,630;8,657;5,285E-10
207,560;14,665;5,256E-10;185,020;15,232;1,309E-10;210,720;9,959;5,285E-10
