Time (s) Aperture 4mm 405 nm;Voltage (V) Aperture 4mm 405 nm;Current (A) Aperture 4mm 405 nm;Time (s) Aperture 4mm 546nm;Voltage (V) Aperture 4mm 546nm;Current (A) Aperture 4mm 546nm;Time (s) Aperture 4mm 365nm;Voltage (V) Aperture 4mm 365nm;Current (A) Aperture 4mm 365nm
5,650;0,006;5,286E-10;20,570;0,007;-1,319E-11;4,360;0,006;5,301E-10
11,150;-0,028;5,285E-10;32,190;-0,016;-2,025E-11;11,780;-0,182;5,299E-10
19,530;-0,056;5,286E-10;42,000;-0,042;-2,548E-11;18,320;-0,421;5,292E-10
28,670;-0,068;5,285E-10;51,410;-0,079;-2,951E-11;25,610;-0,661;5,287E-10
35,160;-0,084;5,232E-10;59,600;-0,128;-3,233E-11;34,450;-0,826;5,287E-10
44,430;-0,092;5,177E-10;68,100;-0,183;-3,392E-11;40,760;-0,866;5,042E-10
52,600;-0,103;4,997E-10;79,360;-0,240;-3,443E-11;50,430;-0,895;4,391E-10
59,560;-0,118;4,794E-10;91,650;-0,315;-3,509E-11;61,670;-0,920;3,773E-10
67,580;-0,131;4,670E-10;98,760;-0,382;-3,493E-11;66,240;-0,961;2,858E-10
77,960;-0,147;4,428E-10;106,880;-0,460;-3,513E-11;73,160;-1,001;1,995E-10
85,480;-0,172;4,094E-10;115,810;-0,545;-3,553E-11;78,430;-1,035;1,500E-10
100,890;-0,196;3,815E-10;127,000;-0,631;-3,552E-11;85,340;-1,094;8,186E-11
111,050;-0,223;3,437E-10;135,590;-0,697;-3,559E-11;92,780;-1,176;2,218E-11
120,000;-0,260;2,947E-10;143,660;-0,766;-3,592E-11;101,120;-1,286;-1,606E-11
132,080;-0,300;2,470E-10;150,570;-0,853;-3,583E-11;106,590;-1,398;-3,794E-11
137,700;-0,319;2,226E-10;158,790;-0,963;-3,596E-11;115,540;-1,534;-5,190E-11
146,970;-0,351;1,869E-10;166,680;-1,086;-3,600E-11;122,100;-1,668;-5,870E-11
156,000;-0,376;1,622E-10;174,440;-1,215;-3,615E-11;126,830;-1,806;-6,354E-11
163,500;-0,405;1,295E-10;184,210;-1,317;-3,621E-11;131,340;-1,985;-6,678E-11
169,640;-0,455;8,621E-11;194,450;-1,460;-3,642E-11;134,940;-2,171;-6,819E-11
176,700;-0,517;4,394E-11;200,120;-1,584;-3,607E-11;;;
183,000;-0,562;2,247E-11;230,860;-1,723;-3,595E-11;;;
196,680;-0,619;4,904E-12;;;;;;
206,870;-0,695;-7,417E-12;;;;;;
214,000;-0,759;-1,273E-11;;;;;;
219,770;-0,846;-1,649E-11;;;;;;
227,690;-0,929;-1,866E-11;;;;;;
236,010;-1,006;-2,019E-11;;;;;;
243,040;-1,102;-2,128E-11;;;;;;
250,820;-1,208;-2,221E-11;;;;;;
